gal,tipo,hu1,hu2,hu3,hu4,hu5,hu6,hu7
K0664,Sb,0.241548069229,0.0310131517291,0.000140007997242,0.000592933075497,4.59765747283e-08,1.53756871969e-05,-6.10399754309e-09
K0665,Sb,0.170991905387,0.00325717915125,0.000107553707112,0.000180225700876,-4.64887508443e-09,-1.56738776689e-06,-1.61017438258e-09
K0676,Sb,0.169492223595,2.95784944407e-05,0.000435994246807,0.000261291893112,-4.14154593307e-10,-3.99760654835e-08,1.41308785315e-09
K0684,Sb,0.160103075375,1.64144670963e-05,0.000222601175863,8.4239814133e-05,-9.14797558182e-11,-5.87383865756e-09,2.86188003629e-11
K0708,E5,0.205348595849,0.000232703833841,0.0013523647958,0.000477974253642,-7.43400978215e-09,1.89309192903e-07,1.78884934773e-10
K0714,Sbc,0.186947382914,0.00901943963811,0.00036954923674,0.000294687818783,-1.91011812518e-08,-3.3114122928e-06,-5.56296782515e-09
K0715,Sbc,0.16385259866,0.00119433654929,0.000196948405905,0.000182438093341,-9.68010979831e-10,1.03486991023e-06,1.75489479785e-09
K0740,Sa,0.176564461127,0.000185404841447,0.000575507451401,0.000104323993534,-5.80071152244e-09,-2.03507637897e-07,-2.45099098359e-09
K0744,S0,0.168614579205,0.000158657130749,0.000131109706091,5.47035774141e-05,-1.40583328442e-09,-7.48088162535e-08,-3.37147744359e-10
K0748,Sbc,0.16203094265,0.000627154767974,0.000209009828432,6.42281630469e-05,-1.37681652231e-09,-1.48952840642e-07,-3.65525786672e-10
K0749,Sdm,0.187994774549,0.00757055308458,0.0035002329391,0.00343170339846,1.10328542138e-08,-3.24657582279e-05,1.28259324778e-07
K0754,Sbc,0.185055645198,0.00840995568357,0.000161049648439,0.000359326062945,7.46046391535e-09,2.45352887758e-06,2.17056029209e-09
K0758,Scd,0.209457003107,0.0176221868347,0.000223443423505,0.000387127379713,2.40260737707e-09,6.08585911139e-06,-7.83826080195e-09
K0764,Sbc,0.166544322592,0.00072549694401,6.63401872688e-05,0.000161868225934,-2.6394761543e-09,-8.63987071456e-07,-1.83518229049e-09
K0768,Sbc,0.185175851673,0.00683876517368,0.000330601377043,7.0693330518e-05,-5.32643698357e-11,8.8604289259e-08,-1.84650176087e-11
K0769,Sbc,0.162103613738,0.000521540033745,1.05513799223e-05,4.45063731464e-05,4.73588362517e-10,1.64768107577e-07,1.33865775696e-10
K0774,Sb,0.283747738836,0.0468339869638,0.000116909858289,0.00101586119963,1.75391131095e-08,1.4516172474e-05,6.68446641206e-08
K0775,Sc,0.246775334892,0.0323443443738,0.00362311476096,0.000524793269253,8.77031830864e-08,2.01142247194e-05,-4.53940005959e-08
K0778,S0,0.178362549687,0.000271201419478,0.000988493058639,0.000579325786345,-7.28701206367e-09,7.03673455555e-07,9.22532540869e-09
K0779,Sbc,0.20129987253,0.0141680749996,0.000103193315258,0.000353434538302,-3.31921525389e-09,-6.44233412255e-06,-2.26367970976e-09
K0780,E7,0.256111392995,0.00176159629033,0.00297452173041,0.00232489066675,-3.27313181079e-08,-7.38270353326e-06,1.72722823855e-07
K0783,Sb,0.227993906567,0.0254268701779,5.57858905348e-05,0.000264964925737,-1.49572561656e-08,2.00477472266e-06,-4.91546868361e-09
K0789,Sb,0.170582094564,0.00273065018722,0.000412424571761,0.000235021714186,-1.80737359186e-08,3.66242855177e-09,-2.88626950846e-11
K0791,Sa,0.164637320471,0.000255226336418,0.000459610110167,0.000288646579396,3.93362495254e-10,-8.86951029147e-08,1.76264261729e-09
K0797,Sb,0.27386429155,0.0488550765998,0.000122634287853,0.00176085597987,-3.23345769698e-07,7.22682730685e-05,-1.19110361561e-07
K0798,Sbc,0.239850733682,0.0315691100665,0.00572840735501,0.00527003304555,1.29538881564e-07,-9.73573828695e-05,7.09561648857e-07
K0804,Sb,0.201342008889,0.0130384074696,0.000911965052726,0.000755790226015,-1.32909502462e-07,4.41823665169e-06,-1.23889643939e-08
K0806,E4,0.217670631802,0.00192285614977,2.80782814271e-05,0.000155425665005,6.38540024399e-10,-1.73587429127e-06,1.44560116005e-09
K0807,Sb,0.167463880044,0.000604776618314,0.000210266528085,1.14795956865e-05,8.27771112596e-10,3.37035677841e-07,7.07184044735e-10
K0809,Sa,0.185625276378,0.00374291167931,0.00151111658101,0.00121249831715,-5.49673624247e-09,-3.73945202625e-06,-5.16578404587e-09
K0810,Sbc,0.185800415829,0.0082921576713,0.000173677925598,0.000135926926559,-4.71839692224e-09,-2.44626665582e-06,7.37450001372e-09
K0813,Sbc,0.16189518571,2.39135582953e-05,0.000144625785885,3.33261706717e-05,-4.44335068599e-10,-1.77806938714e-08,-5.40779050849e-11
K0814,E5,0.234039732694,0.00083092189303,0.00123611878093,0.000786852230781,-7.96248002467e-08,-1.44195773743e-06,-1.96424144516e-08
K0815,E4,0.299035116554,0.00156779108642,0.000208252523624,0.00068356996799,-1.38309371553e-08,-6.99417711781e-06,-1.19787125014e-08
K0816,E5,0.260632258948,0.00208693383837,0.00071977523204,0.000631544215053,-1.55972623591e-07,1.52522600082e-06,3.25982739784e-08
K0818,Sab,0.210420843725,0.0184086348325,0.0022974552262,0.00132930739869,-3.28018871928e-09,5.1658707402e-06,3.12469019138e-08
K0820,Sbc,0.216275464011,0.0160183525758,0.000294754700218,0.000246067030499,-3.33563418207e-09,-2.90806452041e-06,-2.98066460653e-10
K0821,Sb,0.179988805268,0.00590581617485,0.000278972800863,0.000163753245093,-9.91231273127e-10,5.87640564314e-07,1.62682718469e-09
K0822,S0a,0.191149392957,0.00671435061124,0.000355999528784,0.000291142524251,-2.54177992597e-09,-2.96093021396e-06,2.45271799095e-09
K0823,Sbc,0.168837225572,0.0022920519227,0.000108994367854,0.000219097207237,1.99709489805e-09,2.99972126695e-07,2.44297900055e-09
K0824,Sb,0.196568420848,0.0126264070722,0.000551282963889,0.000406055988401,5.69908506025e-09,1.04388967801e-05,2.23876391322e-08
K0826,S0a,0.208614492695,0.0112150836576,0.00123040902438,0.000913264187838,-1.38624745446e-07,-4.77628038043e-06,-4.36560417519e-08
K0827,Sc,0.278762485386,0.0515219830244,0.00107409369438,0.000179500422422,2.6193318968e-07,8.58394631599e-05,2.27742529907e-08
